City,Restaurant,Price,Avg ratings,Food type,Delivery time
Hyderabad,A M Shah Haleem,500,2.9,Indian,33
Bangalore,A Naidu'S Ootada Mane,250,3.6,Indian,52
Mumbai,A One Chinese,400,2.9,"Chinese,Indian",37
Surat,A One Coco,150,4.1,Ice Cream,34
Surat,A One Cold Coco,150,4.1,"Beverages,Desserts",35
Surat,A One Cold Drinks Center,100,3.9,Beverages,39
Kolkata,A One Collfi,200,2.9,"Ice Cream,Indian",69
Hyderabad,A One Home Foods,220,3.7,South Indian  North Indian  Mughlai,69
Chennai,A Plus Tea,100,2.9,Beverages,60
Surat,A R Chinese,200,2.9,Indian,40
Chennai,A R Rahman Bistro,300,4.2,"North Indian,Arabian,Chinese",49
Hyderabad,A'La Liberty,450,4.3,"North Indian,Chinese,Biryani",41
Bangalore,A-1 Biriyani Combo 75,260,3.5,"Biryani,South Indian",62
Hyderabad,A-1 Chicken Pakoda,250,4.1,"Biryani,Chinese,Mughlai",41
Mumbai,A-1 Chinese Corner,250,2.9,Chinese  Continental  Fast Food  Desserts,55
Ahmedabad,A-One Bombay Biryani,200,2.9,"Biryani,Indian",45
Hyderabad,A.M.Tiffin Centre,150,4.1,South Indian,29
Pune,A1 Chinese,400,3.6,"Chinese,North Indian",64
Bangalore,A1 Chips,250,4.5,"Snacks,Sweets",46
Chennai,A1 Chips Anna Nagar,200,4.4,"Snacks,Sweets",62
Chennai,A1 Chips West Mambalam(T Nagar),190,2.9,Indian,77
Mumbai,A1 Darbar,200,4.3,Indian,31
Hyderabad,A1 Fast Food And Nahari Centre,150,2.9,"Indian,Biryani,Chinese",58
Chennai,A1 Food World,250,2.9,"Chinese,American,Pizzas,Snacks",46
Kolkata,A1 Haji Fast Food,300,3.9,"Mughlai,Indian,Chinese",64
Kolkata,A1 Haji Fast Food Centre,300,4.2,"Biryani,North Indian,Street Food",72
Pune,A1 Olympia,260,2.9,"Fast Food,Snacks",55
Pune,A1 Paan Shop,100,2.9,Paan,66
Pune,A1 Pizza Sandwich And Burger,200,2.9,Fast Food,57
Pune,A1 Restaurant,300,2.9,North Indian,52
Bangalore,A2B Veg,300,4.2,"South Indian,North Indian,Sweets,Chinese",39
Chennai,A2B Veg,300,4.3,"South Indian,North Indian,Sweets,Chinese",35
Kolkata,A2Z Kitchen,300,2.9,"Fast Food,Combo,Juices",96
Surat,Aa One Coco,120,2.9,Beverages,61
Pune,Aadd (M) Aadd(B),300,2.9,"Cafe,Beverages,Desserts",44
Kolkata,Aadi Bangali Restaurant,300,2.9,"Bengali,Fast Food,Combo,Thalis",43
Surat,Aagman Punjabi And Chinese Food Corner,300,2.9,"North Indian,Chinese,Thalis",65
Hyderabad,Aaha Emi Ruchi,400,4.5,"Biryani,South Indian,North Indian",65
Kolkata,Aahar Restaurant,400,4.3,"Indian,Chinese",66
Kolkata,Aaharadi,300,2.9,"Chinese,Indian",75
Mumbai,Aai'S Kitchen,350,2.9,"North Indian,Biryani",60
Pune,Aaina,300,2.9,"North Indian,Chinese,Fast Food,Mughlai",52
Kolkata,Aala Biriyani,200,4,"Indian,Biryani",67
Kolkata,Aalamir,200,2.9,"Chinese,Indian,Biryani",48
Bangalore,Aalis Rolls N Kebabs,400,2.9,"Turkish,Arabian",55
Bangalore,Aalishan Restaurant & Caterer,290,4.3,"Mughlai,North Indian",52
Kolkata,Aalishan Restaurant & Caterer,200,2.9,"Biryani,Indian,Desserts",47
Bangalore,Aaliyar Ambur Dum Biryani,200,2.9,Indian,37
Hyderabad,Aamantran - Mithaaii,200,3.7,"Chaat,Snacks,Bakery,Sweets",43
Ahmedabad,Aamantran Fast Food,250,4.3,North Indian,35
Hyderabad,Aamantran Pure Veg,450,4.2,North Indian  Chinese  South Indian  Jain,37
Kolkata,Aamar Bangla,250,4.2,"Bangladeshi,Bengali",74
Kolkata,Aamaze Dhaba,200,2.9,"Indian,Chinese",87
Mumbai,Aamchi Mumbai Snacks,200,4.2,Fast Food,46
Kolkata,Aamio Bengali,200,3.8,"Indian,Seafood,Beverages",84
Kolkata,Aamio Bengali Restaurant,200,2.9,"Bangladeshi,Bengali",79
Mumbai,Aamra Bangali By Ranjana'S Rannaghor,200,3.8,"Bengali,Mughlai",48
Hyderabad,Aangan - Yatri Nivas,500,4.1,North Indian  South Indian,66
Pune,Aangan Veg Restaurant,500,4.2,"North Indian,Chinese,South Indian,Fast Food",70
Kolkata,Aannaz,350,3.9,"Indian,Chinese,Biryani,Snacks,Thalis,Combo,Pizzas,Juices,North Indian,Fast Food",65
Pune,Aaoji Khhaoji,500,4,North Indian,60
Delhi,Aapki Rasoi,200,3.3,"North Indian,Tandoor,Indian,Punjabi",35
Mumbai,Aarogya Amruttulya,150,2.9,"Fast Food,Street Food,Beverages",45
Pune,Aarz Restaurant,240,2.9,Indian,32
Hyderabad,Aashirvad Tiffins,200,4.2,South Indian  Fast Food  Chinese  Snacks  Juices,51
Pune,Aasing'S Kitchen,150,2.9,Continental,45
